func_sigla,func_desc,func_nivel
VIC,VICE-GOVERNADOR,NA
MIN,MINISTRO,
CDS-2,SUPERINTENDENTE DE COORD E SUPERVISÃO DE CONTRATOS DE GESTÃO,
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DA CAPITAL DA SEDUC,
C-2,DIRETOR ADMINISTRATIVO E FINANCEIRO,
SEC,SEC. EXECUTIVA DO FUND. DE PROM. SOCIAL E ERRAD. DA POBREZA,
SEC,SECRETÁRIA DE ESTADO DA ASSISTÊNCIA SOCIAL,
PRES,PRESIDENTE DA AG. AMAZONENSE DE DESENVOLV. CULTURAL - AADC,
DIRE01,DIRETORA EMPRESARIAL E DE RELAÇÕES COM O MERCADO,
DIR,DIRETORA-PRES.  FUND. CENTRO DE CONTROLE DE ONCOLOGIA DO AM,
DAS,SECRETARIO EXECUTIVO,1016
DIR,DIRETORA-PRES. DA AG. AMAZONENSE DE DESENV. ECON. E SOCIAL,
DIRE01,DIRETORA DE CONTROLE INTERNOS,
DIRE01,DIRETOR-EXECUTIVO,
DIRE02,DIRETOR EXECUTIVO COMERCIAL E DE PRODUTOS,
DIRE02,DIRETORA DE CONTROLE INTERNOS,
DIRE03,VICE-PRESIDENTE DE CONTROLES INTERNOS E GESTÃO DE RISCOS,
DIRE04,VICE-PRESIDENTE DE CONTROLES INTERNOS E GESTÃO DE RISCOS,
PREE01,DIRETOR PRESIDENTE,
CHE,CHEFE DA CASA MILITAR DO GOVERNADOR,NA
SECRET,"SECRETARIA DE ESTADO, DESIGNADA",
NA,"SECRETARIO DE ESTADO,",
PREE04,DIRETOR-PRESIDENTE,
895,PRESIDENTE EXECUTIVO,
PREI02,PRESIDENTE,
CDS-2,SECRETARIO EXECUTIVO CHEFE DA CASA MILITAR DO GOVERNADOR,
DIRE01,DIRETOR DE TECNOLOGIA DA INFORMAÇÃO - DITEC,
CHEFE,CHEFE DA CASA MILITAR,NA
C-2,PROCURADOR CHEFE,
DIRE01,DIRETOR EXECUTIVO DE LOGÍSTICA,
DAS,CHEFE CERIMONIAL,1016
DIRE01,DIRETOR EXECUTIVO FINANCEIRO E DE RELAÇÕES COM INVESTIDORES,
DIRE01,DIRETOR DE RELACIONAMENTO COM CLIENTES,
DIRE02,DIRETOR DE RELACIONAMENTO COM CLIENTES,
MIN SU,MINISTRO SUBSTITUTO,
DIRE01,DIRETOR DE COMERCIAL E DE LOGÍSTICA DE CARGAS,
DEL,DELEGADO GERAL DA POLÍCIA CIVIL,NA
PREI01,DIRETOR-PRESIDENTE,
CGE,SECRETARIO,1
DIRE01,DIRETOR DE OPERAÇÕES E SERVIÇOS TÉCNICOS,
DIRE02,DIRETOR DE OPERAÇÕES E SERVIÇOS TÉCNICOS,
DIRE03,DIRETOR DE OPERAÇÕES E SERVIÇOS TÉCNICOS,
DIRE02,DIR. ADMIN. FINANCEIRO,
DIRE01,DIRETOR JURÍDICO E DE GOVERNANÇA E GESTÃO,
DIRE02,DIRETOR JURÍDICO E DE GOVERNANÇA E GESTÃO,
DIRE01,DIRETORIA ADMINISTRATIVA,
DIRE04,DIRETOR ADMINISTRATIVO,
PREI03,PRESIDENTE DA FINEP,
PREE01,DIRETOR-SUPERINTENDENTE,
NA,SECRETARIO DE ESTADO,
SEC,SECRETÁRIO DE ESTADO,NA
DIR,DIRETOR-PRESIDENTE,
DIRE01,DIRETORA COMERCIAL DE PRODUTOS,
PREE01,DIR. PRESIDENTE,
JUCEB,PRESIDENTE,
SEC,SECRETÁRIA EXECUTIVA DA SEAS,
DIRE01,DIRETORA EXECUTIVA FINANCEIRA E DE RELACIONAMENTO COM INVEST,
DAS,CONSELHEIRO,1016
DIRETO,DIRETOR GERAL,
10,SUPERINTENDENTE COMUNICACAO SOCIAL,
DIRE02,DIRETOR COMERCIAL,
NA,"DIRETOR GERAL, RESPONDENDO",
DIRE01,DIRETORA EXECUTIVA DE REFINO E GÁS NATURAL,
SEC,SECRETÁRIA DE ESTADO DE ADMINISTRAÇÃO E GESTÃO,
DIRE01,DIRETORA DE GESTÃO CORPORATIVA,
DIRE02,DIRETORA DE GESTÃO CORPORATIVA,
DIRE01,DIRETORA-EXECUTIVA DE GOVERNANÇA E GESTÃO - DEGG,
NA,CONSELHEIRO CNMP,NA
CE-1,DIR. PRESIDENTE,
DAS,DIRETOR GERAL,1016
DIRE01,DIRETOR DE PLANEJAMENTO E FINANÇAS,
CCD,CONSELHEIRO,2
SEC,SECR. EXE. DO DESEN. ECONÔMICO,NA
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DA SPF,
PRESID,PRESIDENTE DA IDARON,
DIRE01,DIRETOR DE GESTÃO,
DIRE01,DIRETOR DE OPERAÇÕES,
DIRE02,DIRETOR DE OPERAÇÕES,
DIRE02,DIRETOR DE OPERAÇÃO E MANUTENÇÃO,
DIRI01,DIRETOR DE ENGENHARIA,
PREI03,DIRETOR - PRESIDENTE,
DIRE01,DIRETOR DE ADMINISTRAÇÃO E FINANÇAS,
DIRE02,DIRETOR DE ADMINISTRAÇÃO E FINANÇAS,
DIRE03,DIRETOR DE ADMINISTRAÇÃO E FINANÇAS,
DIRE01,DIR. EXECUTIVO DE OPERAÇÃO E LOGÍSTICA,
DIRE01,DIRETOR DE HIDROLOGIA E GESTÃO TERRITORIAL,
DELEGA,DELEGADO ADJUNTO DE POLÍCIA CIVIL,
VICE01,VICE-PRESIDENTE,
DIRE03,VICE-PRESIDENTE,
1192,DIRETOR PRESIDENTE,
NES,COMANDANTE,47
CGE,PROCURADOR CHEFE,1
SEC,SECRETÁRIO DE ESTADO,
DIRE01,DIRETOR DE AGRONEGÓCIOS,
DIRE02,DIRETOR DE AGRONEGÓCIOS,
DELEGA,DELEGADO-GERAL ADJUNTO DA POLÍCIA CIVIL - ESTADO DO AMAZONAS,
DIRE01,DIRETOR DE ADMINISTRAÇÃO,
DIRE02,DIRETOR DE ADMINISTRAÇÃO,
DIRE01,DIRETOT TECNICO,
CGE,GERENTE GERAL,1
SEC,"SEC. EXEC. ADJ. DE POLIT. AGRICOLAS, PECUÁRIA E FLORESTAL",
DIRE01,DIRETOR TÉCNICO E OPERACIONAL,
NES,CARGO ESP.TRANS.GOVERNAMENTAL,56
DIRI01,DIR. DE ADMINISTRAÇÃO E FINANÇAS,
NDAS-1,REITOR,
DIRE02,"VICE-PRESIDENTE DE GESTÃO DE PESSOAS, SUPRIMENTOS E OPERAÇÕE",
DIRE03,"VICE-PRESIDENTE DE GESTÃO DE PESSOAS, SUPRIMENTOS E OPERAÇÕE",
1,VICE-PRESIDENTE DA REPUBLICA,21
DIRE01,DIRETORIA DE TECNOLOGIA E OPERAÇÕES - DIT,
SEC,SECRETÁRIO EXECUTIVO EXTRAORDINÁRIO DE PROJETOS,
DIRE02,DIRETOR FINANCEIRO E DE CRÉDITO,
NES,SUBCHEFE,11
DIRE01,VICE-PRESIDENTE DE GOVERNO E SUSTENTABILIDADE EMPRESARIAL,
DIRE02,VICE-PRESIDENTE DE GOVERNO E SUSTENTABILIDADE EMPRESARIAL,
2042,DIRETOR GERAL,
PRES,PRESIDENTE DA JUNTA COMERCIAL DO ESTADO DO AMAZONAS -  JUCEA,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DO GAB. DA VICE-GOVERNADORIA,
