func_sigla,func_desc,func_nivel
DIRE02,DIRETOR-VICE-PRESIDENTE,
DIRE03,"DIRETOR DE SUPRIMENTOS, INFRAESTRUTURA E PATRIMÔNIO",
DIRE04,VICE-PRESIDENTE DE GESTÃO FINANCEIRA E DE RELAÇÕES COM INVES,
DIRE05,VICE-PRESIDENTE DE GESTÃO FINANCEIRA E DE RELAÇÕES COM INVES,
DAS,DIRETOR,1016
DIRE01,DIRETOR-EXECUTIVO FINANCEIRO E DE RELAÇÕES COM INVESTIDORES,
SUB,SUBCOMANDANTE GERAL,NA
DIRE02,DIRETOR DE GESTÃO CORPORATIVA,
SDR,SECRETÁRIO DE ESTADO,
PROCUR,PROCURADOR,
DIRI02,VICE-PRESIDENTE DE ADMINISTRAÇÃO,
VICE01,VICE-PRESIDENTE DE ADMINISTRAÇÃO,
DIR,DIRETOR-PRESIDENTE FUND. HOSP. DO CORAÇÃO FRANCISCA MENDES,
CHE,CHEFE DA CASA CIVIL,NA
CHEFE,CHEFE DA CASA CIVIL,NA
DIRE01,DIRETOR EXECUTIVO DE TRANSFORMAÇÃO DIGITAL E INOVAÇÃO,
DIRI01,DIRETOR DE ADMINISTRAÇÃO E FINANÇAS,
DIRE01,DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS,
DIRE01,DIR. FINANÇAS E SERVIÇOS LOGÍSTICOS,
DIRE01,DIRETOR DE ADMINSITRAÇÃO,
DIRE01,DIRETOR COMERCIAL VAREJO,
DIRE03,VICE PRESIDENTE,
PROC,PROCURADOR,
SUPERI,SUPERINTENDENTE ESTADUAL DE TURISMO,
DS-1,DIR. PRESIDENTE,
DIRETO,DIRETOR DE PLANEJAMENTO E INOVACAO,
PROCUR,PROCURADOR-GERAL,
DIRE01,DIR. ADMINISTRATIVA FINANCEIRA,
DIRE01,DIRETORA ADMINISTRATIVO-FINANCEIRA,
SUP,SUPERINTENDENTE EXECUTIVO,
SEC,SECRETÁRIO DE ESTADO DOS DIREITOS DA PESSOA COM DEFICIÊNCIA,
CE-1,DIRETOR PRESIDENTE,
DIRE01,DIRETORA DE PRODUTOS ESTRATÉGICOS E INOVAÇÃO,
C-1,DIR. SUPERINTENDENTE,
DIR,DIRETOR GERAL INTERINO,
DIRE01,"DIRETOR DE ADMINISTRAÇÃO, CONTROLE E FINANÇAS",
DIRE02,"DIRETOR DE ADMINISTRAÇÃO, CONTROLE E FINANÇAS",
DIRE03,DIRETOR GERENTE,
CAS-2,DIRETOR DE OPERAÇÕES,
SIHS,SECRETÁRIO DE ESTADO,
FBC,CHEFE GABINETE DO PRESIDENTE,DG1
SECRET,SECRETARIO EXECUTIVO DO MEIO AMBIENTE,NA
DIRE02,DIRETOR DE FINANÇAS,
PROCUR,PROCURADOR-GERAL ADJUNTO,
SEC,SECRETÁRIO CHEFE,NA
SECRET,"SECRETÁRIO DE ESTADO DA SEGURANÇA, DEFESA E CIDADANIA",
DIRE01,DIRETOR DE GESTÃO ESTRATÉGICA DE TI FINANÇAS,
SECRET,SECRETÁRIO DE ESTADO DA EDUCAÇÃO,
SEC,SECRETÁRIO DE ESTADO DE EDUCAÇÃO E QUALIDADE DO ENSINO,
CHEFE,CHEFE DA CONSULTORIA TÉCNICO-LEGISLATIVA DA CASA CIVIL,
SECRET,SECRETARIO EXECUTIVO DE ARTICULACAO NACIONAL,
SUBPRO,SUBPROCURADOR-GERAL,
SEAGRI,SECRETÁRIO DE ESTADO,
DIRE01,DIRETORA-EXECUTIVA DE GESTÃO INSTITUCIONAL - DEGI,
DIRE01,DIRETORA DE CONFORMIDADE,
CAS-1,DEFENSOR PÚBLICO-GERAL DO ESTADO,
DIRETO,DIRETOR-GERAL,
DIRE01,DIRETORA DE ENSINO,
CAS-1,SUPERINTENDENTE,
SE-4,DIR. MARKENTING,
DIRE01,DIRETOR TÉCNICO E DE OPERAÇÃO,
CDS-2,SECRETARIO EXECUTIVO DO ORÇAMENTO DEMOCRÁTICO ESTADUAL,
SEC,SEC. EXECUTIVA ADJUNTA DO FUNDO ESTADUAL DE SAÚDE DA SUSAM,
DIRE01,DIRETORA JURÍDICA,
DIRE02,DIRETORA JURÍDICA,
DIRE03,DIRETORA JURÍDICA,
PRES,PRESIDENTE DA AG. DE DES. SUSTENTÁVEL DO AMAZONAS - ADS,
DIRE01,DIRETOR DE GESTÃO DO CONHECIMENTO E PESSOAS,
DIRE02,DIRETOR DE GESTÃO DO CONHECIMENTO E PESSOAS,
SERIN,SECRETÁRIO DE ESTADO,NA
SEC,SECRETÁRIO EXECUTIVO DA SEDUC,
DIRE01,DIRETOR TECNICO-OPERACIONAL,
DIRE02,DIRETOR TÉCNICO-OPERACIONAL,
DIRE01,DIRETOR DA ÁREA EMPREENDIMENTOS DE IRRIGAÇÃO,
CDSI-3,DIR. ADM. E FINANCEIRO,
DIRE01,DIRETOR FINANCEIRO E DE CR[ÉDITO,
DIRE01,"DIRETOR ADMINISTRAÇÃO, FINANÇAS E PESSOAS",
PREE02,DIRETOR GERAL,
PREE03,DIRETOR-GERAL,
CAS-2,DIR. TÉCNICO,
DIR,DIRETOR-PRES. DO INST. DE DESENV. AGROP. E FLOR. SUST. DO AM,
DIRE02,DIRETOR TÉCNICO-COMERCIAL,
DIRE01,DIRETOR OPERACIONAL,
DIRE02,DIRETOR DE MICRO E PEQUENAS EMPRESAS,
DIRI01,DIRETOR EXECUTIVO DE SERVIÇOS,
DIRE01,DIRETOR NA DIRETORIA DE RECUPERAÇÃO DE CRÉDITOS DE PESSOAS F,
DIRE01,DIR. ADMINISTRATIVO-FINANCEIRO,
DIRE01,DIRETOR DE FINANÇAS E ADMINISTRAÇÃO - DFA,
DIRE01,DIR. DE DISTRIBUIÇÃO,
COORDE,COORDENADOR DE SISTEMA PRISIONAL DA SEAP,
SEC,SECRETÁRIO EXECUTIVO DA CASA MILITAR,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA SEAP,
SEC,SECRETÁRIO PARTICULAR DO GOVERNADOR,
CDS-3,DIRETOR DE PESQUISA AGROPECUÁRIA,
SEC,SECRETÁRIO EXECUTIVO DA SERIRA,
SEC,SECRETÁRIO DE ESTADO DO TRABALHO,
PRES,PRESIDENTE DA COMPANHIA DE SANEAMENTO DO AMAZONAS - COSAMA,
NA,"SECRETARIA DE ESTADO,",
SECTI,"SECRETÁRIA DE ESTADO, RESPONDENDO",NA
DIRE01,DIRETOR DE GESTÃO OPERACIONAL E NAVEGAÇÃO AÉREA,
CHEFE,SUBCHEFE DO GABINETE PESSOAL DO GOVERNADOR,
SPROC,SUBPROCURADOR-GERAL ADJUNTO II DO ESTADO DO AMAZONAS,
NES,CONSULTOR GERAL DA UNIAO,15
COM,COMANDANTE GERAL DO CORPO DE BOMBEIROS MILITAR,NA
DIRE03,VICE-PRESIDENTE DE NEGÓCIOS DE VAREJO,
DIRE04,VICE-PRESIDENTE DE NEGÓCIOS DE VAREJO,
DIRE01,DIRETOR EXECUTIVO DE GOVERNAÇA E CONFORMIDADE,
DIRE01,DIRETOR DE TECNOLOGIA - DITES,
DIRE01,VICE-PRESIDENTE DE DESENVOLVIMENTO DE NEGÓCIOS E TECNOLOGIA,
DIRE02,VICE-PRESIDENTE DE DESENVOLVIMENTO DE NEGÓCIOS E TECNOLOGIA,
DIRE01,DIRETOR EXECUTIVO DE MERCADO CORPORATIVO E DE LUBRIFICANTES,
DIRE01,DIRETOR DE MANUTENÇÃO E OPERAÇÃO,
DIRE01,DIRETOR DE COMPLIANCE,
DIRE01,"DIRETOR DE OPERAÇÃO, PLANEJAMENTO E EXPANSÃO",
DIRE02,"DIRETOR DE OPERAÇÃO, PLANEJAMENTO E EXPANSÃO",
DIRE01,DIRETOR-EXECUTIVO DE REDE DE POSTOS E VAREJO,
DIRE02,DIRETOR EXECUTIVO DE OPERAÇÃO E LOGÍSTICA,
DIRE03,DIRETOR DE GESTÃO,
DIR,DIRETOR-PRES. DO INSTITUTO DE PROTEÇÃO AMBIENTAL DO AM-IPAAM,
SEC,SECRETÁRIO DE ESTADO  DO MEIO AMBIENTE,
DIRE01,DIRETORIA TÉCNICA E OPERACIONAL,
DIRE02,DIRETOR OPERACIONAL,
DIR,DIRETOR DO INSTITUTO DE POLÍCIA CIENTÍFICA,NA
DIRE01,"DIRETOR COMERCIAL, MARKETING E CLIENTES",
DIRE01,DIRETOR-EXECUTIVO DE GESTÃO DE ATIVOS,
DIRE02,DIRETOR-EXECUTIVO DE GESTÃO DE ATIVOS,
DIRE01,DIRETOR DE SERVIÇOS,
NES,SUBCHEFE,65
COM,COMANDANTE-GERAL DA PMSC,NA
BAHIAP,DIRETOR PRESIDENTE,NA
DIRE01,DIRETORIA DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO - DRCT,
SEC,SECRETÁRIO EXECUTIVO CHEFE DA CASA MILITAR DO GOVERNADOR,NA
SECRET,SECRETÁRIO EXECUTIVO DO VICE- GOVERNADOR,
PGJM,Procurador-Geral de Justiça Militar,
DIRE01,DIR. DE PROD. DO COMB. NUCLEAR,
INEMA,DIRETORA GERAL,
SEMA,"SECRETÁRIA DE ESTADO, RESPONDENDO",NA
DIRE01,DIRETOR DE PRODUÇÃO DO COMBUSTÍVEL NUCLEAR - DPN,
DIRE02,DIRETOR DE PRODUÇÃO DO COMBUSTÍVEL NUCLEAR - DPN,
DAS,SECRETARIO-GERAL,1016
DIRE01,DIRETORIA DE PLANEJAMENTO E GESTÃO DE RISCOS,
DIRE02,DIRETOR DE PLANEJAMENTO E RISCO - DPLR,
NA,DIRETOR GERAL,
DIRE02,DIRETOR DE PLANEJAMENTO,
PREE01,DIR. DE PLANEJAMENTO,
PREI03,DIRETOR-PRESIDENTE,
DIRE03,VICE-PRESIDENTE DE NEGÓCIOS DE ATACADO,
DIRE01,DIRETOR DE GEOLOGIA E RECURSOS MINERAIS,
DIRE02,DIRETOR DE GEOLOGIA E RECURSOS MINERAIS,
DIRE01,"DIRETOR DE ADMINISTRAÇÃO, FINANÇAS E PESSOAS",
DIRE02,"DIRETOR DE ADMINISTRAÇÃO, FINANÇAS E PESSOAS",
DIRE03,"DIRETOR DE ADMINISTRAÇÃO, FINANÇAS E PESSOAS",
DIRE04,"DIRETOR DE ADMINISTRAÇÃO, FINANÇAS E PESSOAS",
SUPERI,SUPERINTENDENTE ESTADUAL DE COMPRAS E LICITAÇÕES,
DIR,DIRETOR-PRESIDENTE DO FUNDO PREVIDENCIÁRIO DO ESTADO DO AM,
DIRE02,DIRETOR INDUSTRIAL,
DIRE01,DIRETOR DA ÁREA DE DESENVOLVIMENTO INTEGRADO E INFRAESTRUTUR,
DIRE03,DIRETOR DE SOLUÇÕES EM EMPRÉSTIMOS E FINANCIAMENTOS,
DIRE04,DIRETOR DE GESTÃO DE RISCOS,
DIRE03,DIRETOR DE AGRONEGÓCIOS,
CRP,GOVERNADOR DO ESTADO,
COM,COMANDANTE-GERAL DO CBMSC,NA
DIRE01,DIRETOR EXECUTIVO DE DUTOS E TERMINAIS,
PREE01,PRESIDENTE DA TRANSBEL,
NES,SECRETARIO-GERAL,8
DEL,DELEGADO-GERAL DA PCSC,NA
DIRE01,DIRETOR DE ENRIQUECIMENTO ISOTÓPICO,
SECRET,SECRETÁRIO DE ESTADO DA JUSTIÇA,
DIRE01,"DIRETOR DE EMPRÉSTIMOS, FINANCIAMENTOS E CRÉDITO IMOBILIÁRIO",
DIRE02,"DIRETOR DE EMPRÉSTIMOS, FINANCIAMENTOS E CRÉDITO IMOBILIÁRIO",
SEC,SECRETÁRIO DE ESTADO DE INFRAESTRUTURA,
DIRE01,DIRETOR  DE NEGÓCIOS,
DS-2,DIR. EXEC. DE REGULAÇÃO,
PREE01,DIRETOR TÉCNICO,
DIR,DIRETOR-PRES.  FUND. DE MED. TROP.DR. HEITOR VIEIRA DOURADO,
NES,SECRET.GERAL DE CONSULTORIA,32
DIRE01,DIRETORA DE PRODUÇÃO ARTÍSTICA,
DIRETO,DIRETOR-GERAL DA AGEVISA,
DIRE01,DIR. ADMINISTRAÇÃO E FINANÇAS,
SEC,SECRETÁRIA EXECUTIVA DA SEAD,
DE-101,SECRETÁRIO GERAL,
CCS-2,DIR. ADMINISTRATIVO,
NAN,DIR. VICE-PRESIDENTE,
VICE-P,DIRETOR VICE-PRESIDENTE,
PRES,PRESID. DE HONRA - FUND. DE PROM. SOCIAL E ERRAD. DA POBREZA,
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DO FPS,
CAS-2,DIRETOR DE RÁDIO E TV,
DIRE01,DIRETORA DE GESTÃO PORTUÁRIA,
CORREG,CORREGEDORA DA PROCURADORIA GERAL DO ESTADO DO AMAZONAS,
SEC,SECRETÁRIA EXECUTIVA  DE FINANÇAS DA CASA CIVIL,
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DA SEJUSC,
CHEFE,CHEFE DO CERIMONIAL DO GOVERNO DO AMAZONAS,
PRESID,PRESIDENTE DO IPERON,
DIRE01,DIRETORA DE RISCOS E CONTROLES INTERNOS,
SEC,SECRETÁRIA DE ESTADO EXTRAORDINÁRIO,
NAN,DIR. COMERCIAL,
DIRETO,DIRETOR COMERCIAL,
DIRE01,DIR. COMERCIAL,
PREI02,DIRETOR,
SEC,SECRETÁRIO EXECUTIVO DO TESOURO,NA
DELEGA,DELEGADO-GERAL DA POLÍCIA CIVIL DO ESTADO DO AMAZONAS,
SECRET,SEC DE ESTADO DA ASSISTÊNCIA E DO DESENVOLVIMENTO SOCIAL,
DIRE01,DIRETORA DE GESTÃO COMERCIAL E DESENVOLVIMENTO DE NEGÓCIOS,
DIRE02,DIRETORA DE GESTÃO COMERCIAL E DESENVOLVIMENTO DE NEGÓCIOS,
SEC,SECR. EXE. DO MEIO AMBIENTE,NA
DIRE03,DIRETOR DE ESTRATÉGIA E ORGANIZAÇÃO,
DIRE01,DIRETOR DE NEGÓCIOS COMERCIAIS,
SECRET,SECRETÁRIO DE ESTADO DA AGRICULTURA,
CHEFE,CHEFE DA CASA MILITAR,
DIRE01,DIRETOR-VICE-PRESIDENTE,
DIRE01,VICE-PRESIDENTE CORPORATIVO,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DA CASA CIVIL,
SEC,SECRETARIO EXECUTIVO DE JUVENTUDE,NA
DIRE01,DIR. DE PLANEJ. E DESENVOLV.,
VICE01,VICE-PRFESIDENTE DE ENCOMENDAS,
DIRI02,DIRETOR DE OPERAÇÃO E EXPANSÃO,
DEP-10,SECRETÁRIO  EXECUTIVO,
SEC,SECRETÁRIO EXECUTIVO,
DIRE03,DIRETOR MÉDICO,
VICE01,VICE-PRESIDENTE MÉDICO,
DIRE01,DIRETORA DE ADMINISTRAÇÃO E FINANÇAS,
SEC,SECRETARIA DE ESTADO DE REL. INSTIT. E REPRES. DO AMAZONAS,
CAS-1,DIRETOR PRESIDENTE,
NES,CHEFE,29
SEC,SECRETÁRIA EXECUTIVA DE CULTURA DA SEC,
NES,SUBCHEFE DA CASA CIVIL,11
DIRE01,DIRETOR DE PRODUÇÃO E CONTEÚDO,
DIRE02,DIRETOR DE PRODUÇÃO ARTÍSTICA,
DIR,DIRETOR-PRESIDENTE DA FUND. HOSPIT. DE HEMAT. E HEMOT. DO AM,
VICE02,VICE-PRESIDENTE,
DIRE01,DIRETOR ADMINISTRATIVO FINANCEIRO,
DIRE01,DIRETOR ADMINSTRATIVO-FINANCEIRO,
SEDUR,SECRETÁRIO DE ESTADO,
SEAP,SECRETÁRIO DE ESTADO,
DIRE01,DIRETOR DE CLIENTES VAREJO MPE E PF,
DIRE02,DIRETOR EXECUTIVO DE TRANSFORMAÇÃO DIGITAL E INOVAÇÃO,
SE-4,DIRETOR ADMINISTRATIVO E FINANÇAS,
DIRE01,DIRETORA ENFERMAGEM,
CDS-2,DIRETOR PRESIDENTE,
CCS-1,DIRETOR PRESIDENTE,
DAI-1,DIR. TÉCNICO,
NAN,DIR. TEC. COMERCIAL,
PROC.,PROC. GER. DO ESTADO,
SEC,SECRETÁRIO EXECUTIVO DA SUSAM,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO  DE OPERAÇÕES INTEGRADAS SSP AM,
DS-2,DIRETOR DE OPERAÇÕES,
DIRE01,DIRETOR DE LABORATÓRIOS E PESQUISA EXPERIMENTAL,
CONTR,SUBCONTROLADOR GERAL DO ESTADO DO AMAZONAS,
DIRE01,DIRIGENTE,
DIRE01,DIRETORA DE PESQUISA,
PREI02,DIRETOR PRESIDENTE INTERINO,
SEC,SECRETÁRIA DE ESTADO DE POLÍTICA FUNDIÁRIA,
PRESID,"PRESIDENTE, RESPONDENDO",
DIRE01,DIRETORA DE NEGÓCIOS DIGITAIS,
DIRE02,DIRETORA DE NEGÓCIOS DIGITAIS,
DIRE02,DIRETORA DE MARKETING E COMUNICAÇÃO,
DIRE01,DIRETOR DE INFRAESTRUTURA GEOCIENTÍFICA,
DIRE02,DIRETOR DE INFRAESTRUTURA GEOCIENTÍFICA,
VICI02,VICE-PRESIDENTE,
DIRI01,DIRETOR DE OPERAÇÕES,
DIRE01,DIRETOR DE ESTRATÉGIA E ORGANIZAÇÃO,
DIRE01,DIRETOR ADMINISTRATIVO E FINANCEIRO - DIAFI,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DO CERIMONIAL,
VICE01,DIRETOR VICE-PRESIDENTE EXECUTIVO,
COMAND,COMANDANTE-GERAL DA POLICIA MILITAR,
1206,DIRETOR PRESIDENTE,
SUPERI,SUPERINTENDENTE,
PROC,PROCURADOR-GERAL DO ESTADO DO AMAZONAS,
DIRI03,DIRETOR TÉCNICO-OPERACIONAL,
PREI04,DIRETOR-SUPERINTENDENTE,
PRO,PROCURADOR GERAL ADJUNTO DO ESTADO,NA
DIRE01,DIRETOR TÉCNICO E DE FISCALIZAÇÃO,
DIRE02,DIRETOR TÉCNICO E DE FISCALIZAÇÃO,
PROC,PROCURADOR GERAL DO ESTADO,NA
DIRE01,DIR. DE DUTOS E TERMINAIS,
DIRE02,DIRETOR-EXECUTIVO DE DUTOS E TERMINAIS,
DIRE01,DIRETOR - VICE-PRESIDENTE,
PREE01,DIRETOR COMERCIAL,
FDA,FUNÇÃO GRATIFICADA DE DIREÇÃO E ASSESSORAMENTO,
3,CHEFE GABINETE DO GOVERNADOR,
VICE01,DIRETOR-VICE-PRESIDENTE,
NES,CARGO ESP.TRANS.GOVERNAMENTAL,54
DIRETO,DIRETOR TÉCNICO COMERCIAL,
DIR,DIRETOR SUPERINTENDENTE,
SECRET,SECRETÁRIO ADJUNTO SEPOG,
DIRE02,DIRETOR DE PLANEJAMENTO E RELAÇÕES INSTITUCIONAIS,
DIRE01,DIRETOR DE ESTRATÉGIA E NEGÓCIOS,
DIRE01,DIRETOR DE NEGÓCIOS DIGITAIS,
DIRE02,DIRETOR DE ESTRATÉGIA E TECNOLOGIA,
DIRE03,DIRETOR DE ESTRATÉGIA E TECNOLOGIA,
DIRE03,DIRETOR-GERENTE,
DIRETO,DIRETOR ADJUNTO DE POLÍCIA TÉCNICA,
DIRI01,DIRETOR ADMINISTRATIVO INTERINO,
DIRI01,DIRETOR FINANCEIRO INTERINO,
PREI01,DIRETOR,
PREI01,DIRETOR ADMINISTRATIVO E FINANCEIRO,
PREI02,DIRETOR ADMINISTRATIVO INTERINO,
PREI02,DIRETOR FINANCEIRO INTERINO,
DIRE02,DIRETOR DE FINANÇAS E ADMINISTRAÇÃO,
DIRE02,"DIRETOR DE OPERAÇÕES, ENGENHARIA E TECNOLOGIA",
DIRE01,DIRETOR FINANCEIRO E DE SERVIÇOS,
DIRE02,DIRETOR FINANCEIRO E DE SERVIÇOS,
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DE GESTÃO DE PESSOAS DA SEAD,
CDS-2,SECRETÁRIO EXECUTIVO DA JUVENTUDE,
REITOR,MAGNÍFICO REITOR DA UNIVERSIDADE DO ESTADO AMAZONAS,
CC2,DIR. VICE-PRESIDENTE,
DIRE03,DIRETOR DE PLANEJAMENTO,
DIRE01,DIRETOR DE FINANÇAS E RI,
DIRE02,"DIRETOR DE FINANÇAS, RELAÇÕES COM INVESTIDORES E GESTÃO DAS",
DIRE01,DIRETOR EXECUTIVO DE RELACIONAMENTO INSTITUCIONAL E SUSTENTA,
SEC,SECRETARIO EXECUTIVO DA AGROPECUARIA,NA
DIRE01,DIR. EXECUTIVO ADMINISTRATIVO - FINANCEIRO,
DS-2,DIR. ADMINISTRATIVO,
SEC,SECRETÁRIO EXECUTIVO DA SEJEL,
CDS-1,SECRETARIO CHEFE DO GOVERNO,
DIRE02,DIRETOR FINANCEIRO E COMERCIAL,
DEFENS,DEFENSOR PUBLICO-GERAL,
PGR,Procurador-Geral da República,
DIRE01,"DIRETOR DE PESQUISA, DESENVOLVIMENTO E INOVAÇÃO",
DEP-10,SEC. EXECUTIVO,
DEF,DEFENSOR PUBLICO-GERAL,NA
VICE-P,VICE-PRESIDENTE,NA
DIRE01,DIRETOR(A) DE OPERAÇÕES,
CE-2,DIR. ADM. E FINANCEIRO,
DIR,DIRETOR-PRESIDENTE DA FUND. AMPARO À PESQ. DO ESTADO DO AM,
DIRE02,DIRETOR DE DESENVOLVIMENTO,
PROC,PROCURADOR GERAL DO ESTADO,
PREE01,DIRETOR ADMINISTRATIVO FINANCEIRO,
DIRE03,DIRETOR TÉCNICO,
DIRE05,DIRETOR DE OPERAÇÃO E COMERCIALIZAÇÃO,
DIRI06,DIRETOR DE ANGRA 3,
PREI01,DIRETOR PRESIDENTE,
DS-2,DIR. EXEC. DE CONTROLE ADM. E FINANCEIRO,
NES,PROCURADOR GERAL DA FAZ. NAC.,14
BASICA,PRESIDENTE DO CONSELHO REGULADOR,
DELEGA,DELEGADO GERAL,
SPROC,SUBPROCURADORA-GERAL ADJUNTA I DO ESTADO DO AMAZONAS,
DS-2,DIR. OPERAÇÕES,
VICI01,VICE-PRESIDENTE,
CDS-2,COORDENADOR GERAL,
DIRE01,DIRETOR EXECUTIVO DE RELACIONAMENTO INSTITUCIONAL,
DIRE02,DIRETOR EXECUTIVO DE RELACIONAMENTO INSTITUCIONAL,
SE-4,DIR. PRESIDENTE,
SEC,SECRETÁRIO ESPECIAL,
DIRI03,DIRETOR DE REGULAÇÃO E COMERCIALIZAÇÃO,
DIRI05,DIRETOR DE REGULAÇÃO E COMERCIALIZAÇÃO,
AUDITO,AUDITOR-GERAL DO ESTADO,
CDS-2,SECRETÁRIO EXECUTIVO DE ENERGIA E DO PROG DE ACEL DO CRESC,
SEC,SECR. EXE. DE ENERGIA E DO PROGR. DE ACELERACAO DO CRESCIMEN,NA
EGBA,"DIRETOR GERAL, RESPONDENDO",NA
SUPERI,"SUPERINTENDENTE ESTADUAL JUVENTUDE, CULTURA, ESPORTE E LAZER",
DIRE01,DIRETOR EXECUTIVO  FINANCEIRO E DE RELACIONAMENTO COM INVEST,
DIRE01,DIRETOR EXECUTIVO DE REFINO E GÁS NATURAL,
DIRE02,DIRETOR EXECUTIVO DE REFINO E GÁS NATURAL,
DIRE01,DIRETOR - VICE PRESIDENTE,
DIRE02,DIRETOR - VICE PRESIDENTE,
DIRE03,DIRETOR DE SOLUÇÕES EM MEIOS DE PAGAMENTOS E SERVIÇOS,
DIRE01,DIR. GLP GRANEL,
DIRE02,DIRETOR DE GLP GRANEL,
DIRE03,DIRETOR DE GLP GRANEL,
DIRE01,DIRETOR CORPORATIVO FINANCEIRO,
DIRE02,DIRETOR CORPORATIVO E FINANCEIRO,
PREE01,ECONOMISTA,
PREE02,ECONOMISTA,
DIRE02,DIRETOR DE ENRIQUECIMENTO ISOTÓPICO,
DIRE01,DIR. DE SERVIÇOS,
DIRE01,DIRETOR-EXECUTIVO DE TRANSPORTE MARÍTIMO,
PREE01,DIR. SUPERINTENDENTE,
DIRE01,DIRETOR DE MEIOS DE PAGAMENTO,
DIRE01,DIRETOR DE RECURSOS MINERAIS DA INDUSTRIAS NUCLEARES DO BRAS,
DIRE02,DIRETOR DE RECURSOS MINERAIS DA INDUSTRIAS NUCLEARES DO BRAS,
DIRE01,DIRETOR CORPORATIVO,
DIRE02,DIRETOR CORPORATIVO,
DIRI03,DIRETOR FINANCEIRO,
DIRE02,DIRETOR DE GOVERNANÇA,
DIRE03,DIRETOR DE GOVERNANÇA,
CAS-1,DIR. PRESIDENTE,
DIRE02,DIRETOR ADMINISTRATIVO E FINANCEIRO,
DIRE01,DIRETOR DE REESTRUTURAÇÃO DE ATIVOS OPERACIONAIS,
DIRE02,DIRETOR DE REESTRUTURAÇÃO DE ATIVOS OPERACIONAIS,
DIRE03,DIRETOR DE REESTRUTURAÇÃO DE ATIVOS OPERACIONAIS,
DIRI01,"DIRETORIA FINANCEIRA, DE CRÉDITO E CAPTAÇÃO",
PREE03,PRESIDENTE DA FINEP - ATA DA 11° REUNIÃO ORDINÁRIA DO CONSEL,
DIRE01,DIRETOR-GERAL,
DIRE02,DIRETOR GERAL,
DIRE03,DIRETOR-GERAL,
DIRE04,DIRETOR-GERAL,
CDS-2,SECRETARIO EXECUTIVO DE ECONOMIA SOLIDÁRIA,
SEC,SECRETÁRIO EXECUTIVO DA SETRAB,
SEC,SECRETARIO EXECUTIVO DA CIENCIA E TECNOLOGIA,NA
DIRE02,DIRETOR EXECUTIVO DE DESENVOLVIMENTO DA PRODUÇÃO,
GOV,GOVERNADOR,NA
SE-3,DIR. PRESIDENTE,
DIRE01,DIRETOR  EXECUTIVO DE GOVERNANCA E CONFORMIDADE,
DIRE01,DIRETORA DE ATIVOS DE TERCEIROS,
DIRETO,DIRETOR DO DEPARTAMENTO ESTADUAL DE TRANSITO,
212,DEFENSOR PUBLICO GERAL,
CCS-2,DIR. FINANCEIRO,
DIRETO,DIRETOR-GERAL DE POLÍCIA TÉCNICA,
DIRE01,DIRETORA DE TECNOLOGIA,
DIRE02,DIRETOR DE INOVAÇÃO E MERCADO,
SE-3,SUPERINTENDENTE,
CONTR,SUBCONTROLADORA GERAL DE OUVIDORIA DO ESTADO DO AMAZONAS,
DAI-1,DIR. FINANCEIRO,
COM,COMANDANTE GERAL DA POLÍCIA MILITAR DO ESTADO DA PARAÍBA,NA
DIRE02,VICE-PRESIDENTE DE TECNOLOGIA DA INFORMAÇÃO,
DIRI03,VICE-PRESIDENTE DE FINANÇAS E CONTROLADORIA,
VICE01,VICE-PRESIDENTE DE FINANÇAS E CONTROLADORIA,
DIRE01,DIR. DEPART. DE PRODUTOS & NEGOCIOS,
DIR,DIRETOR DA AG. DE DEFESA AGROPECUARIA E FLORESTAL DO AM,
DS-1,DIRETOR PRESIDENTE,
SEC,SECRETÁRIO EXECUTIVO ADJUNTO DE ADMINISTRAÇÃO DA CASA CIVIL,
PRES,VICE-PRESIDENTE DA COMISSÃO GERAL DE LICITAÇÃO,
SEC,SECRETÁRIA EXECUTIVA DA SEC,
CGE,CHEFE DA ASSESSORIA,1
DIRETO,DIRETOR DE EXPANSÃOI,
NAN,DIR. DE EXPANSÃO,
DE-101,DIR. PRESIDENTE,
DIRE02,DIRETOR COMERCIAL VAREJO,
DIRE03,DIRETOR COMERCIAL VAREJO,
DIRE01,DIRETORA DE PARTICIPAÇÕES,
DIRE01,DIRETOR DE TECNOLOGIA DA INFORMAÇÃO,
DIRE01,DIRETORA DE JORNALISMO,
DIRE02,DIRETORA DE JORNALISMO,
DIRE03,DIRETORA DE JORNALISMO,
DIRE04,DIRETORA DE JORNALISMO,
PRESID,PRESIDENTE DA FEASE,
DIRE02,DIRETORA,
DIRE01,DIRETORA DE CRÉDITO A INFRAESTRUTURA,
SEC,SECRETÁRIA EXECUTIVA DA SERIRA,
SEC,SECRETÁRIA EXECUTIVA ADJUNTA DA SEJEL,
NAN,DIR. ADM. FINANCEIRO,
